Setup	Class	Attack	Avg (m)	Root Motion (m)	Attack Extension (m)	Estimated Startup (ms)	Estimated Startup (frames @ 30fps)	Speed to Active (m/s)	Min (m)	Max (m)	SD	Sample Size	Notes	Frame Data
Dagger	Dagger	1h R2 2 Release	2.663	1.364	1.298	491	15	5.42	2.63	2.689	0.017	30	Weapons: 1000000	a020_030515
Dagger	Dagger	2h R1 1	3.155	1.863	1.293	282	9	11.19	3.067	3.246	0.027	366	Weapons: 1000000	a020_032000
Dagger	Dagger	2h R1 2	2.345				1		2.3	2.371	0.013	21	Weapons: 1000000	a020_032010
Dagger	Dagger	2h R1 3	2.349				1		2.341	2.352	0.003	9	Weapons: 1000000	a020_032020
Dagger	Dagger	2h R1 4	2.14				1		2.135	2.158	0.006	9	Weapons: 1000000	a020_032030
Dagger	Dagger	2h R1 5	2.259				1		2.254	2.264	0.003	9	Weapons: 1000000	a020_032040
Dagger	Dagger	2h R1 6	2.761				1		2.749	2.765	0.005	9	Weapons: 1000000	a020_032050
Dagger	Dagger	2h Running R1	4.642	3.777	0.865	432	13	10.75	4.596	4.69	0.033	20	Weapons: 1000000	a020_032200
Dagger	Dagger	2h Running R2	5.178	3.719	1.459	469	15	11.04	5.119	5.325	0.07	17	Weapons: 1000000	a020_032210
Dagger	Dagger	2h Rolling R1	3.105	1.582	1.524	269	9	11.54	3.093	3.121	0.008	21	Weapons: 1000000	a020_032300
Dagger	Dagger	2h Backstep R1	4.615				1		4.615	4.615	0	6	Weapons: 1000000	a020_032400
Dagger	Dagger	2h Charged R2 1	3.814	2.46	1.355	835	26	4.57	3.791	3.816	0.004	39	Weapons: 1000000	a020_032500
Dagger	Dagger	2h R2 1 Release	3.107	2.035	1.072	586	18	5.3	3.087	3.112	0.006	41	Weapons: 1000000	a020_032505
Dagger	Dagger	2h Charged R2 2	3.351				1		3.307	3.362	0.013	18	Weapons: 1000000	a020_032510
Dagger	Dagger	2h R2 2 Release	2.717				1		2.637	2.832	0.084	5	Weapons: 1000000	a020_032515
Dagger+Dagger	Dagger	Paired L1 1	3.729	2.262	1.467	333	10	11.2	3.701	3.731	0.008	12	Weapons: 1000000 1000000	a020_034000
Dagger	Dagger	Paired Running L1	5.768	4.283	1.485	672	21	8.58	5.768	5.768	0	1	Weapons: 1000000	a020_034200
Dagger+Dagger	Dagger	Paired Running L1	5.785	4.324	1.461	466	14	12.41	5.785	5.785	0	3	Weapons: 1000000 1000000	a020_034200
Dagger+Dagger	Dagger	Paired Rolling L1	3.152	2.385	0.767	348	11	9.06	3.146	3.164	0.007	4	Weapons: 1000000 1000000	a020_034300
Dagger	Dagger	Offhand L1 1	3.188	2.205	0.983	339	11	9.4	3.183	3.189	0.001	42	Weapons: 1000000	a020_035000
Black Knife	Dagger	1h R1 1	3.26	1.866	1.394	335	11	9.73	3.251	3.263	0.002	62	Weapons: 1010000	a020_030000
Black Knife	Dagger	1h R1 2	2.573	1.354	1.219	355	11	7.25	2.463	2.663	0.038	21	Weapons: 1010000	a020_030010
Black Knife	Dagger	1h R1 3	2.291	1.017	1.275	336	11	6.82	2.265	2.32	0.015	10	Weapons: 1010000	a020_030020
Black Knife	Dagger	1h R1 4	1.992	0.958	1.034	336	11	5.93	1.969	2.022	0.021	7	Weapons: 1010000	a020_030030
Black Knife	Dagger	1h R1 5	2.299				1		2.269	2.313	0.015	5	Weapons: 1010000	a020_030040
Black Knife	Dagger	1h R1 6	2.537				1		2.506	2.555	0.019	4	Weapons: 1010000	a020_030050
Black Knife	Dagger	1h Running R1	4.51	3.719	0.79	431	13	10.46	4.429	4.587	0.04	18	Weapons: 1010000	a020_030200
Black Knife	Dagger	1h Running R2	5.273	3.718	1.555	467	15	11.29	5.251	5.284	0.013	12	Weapons: 1010000	a020_030210
Black Knife	Dagger	1h Rolling R1	3.273	1.482	1.791	282	9	11.61	3.267	3.284	0.007	24	Weapons: 1010000	a020_030300
Black Knife	Dagger	1h Backstep R1	4.616				1		4.591	4.658	0.025	8	Weapons: 1010000	a020_030400
Black Knife	Dagger	1h Charged R2 1	4.939	3.337	1.602	855	26	5.78	4.843	4.993	0.041	29	Weapons: 1010000	a103_030500
Black Knife	Dagger	1h R2 1 Release	4.336	2.749	1.587	460	14	9.43	4.291	4.378	0.024	29	Weapons: 1010000	a103_030505
Black Knife	Dagger	1h Charged R2 2	4.065				1		4.008	4.143	0.055	17	Weapons: 1010000	a103_030510
Black Knife	Dagger	1h R2 2 Release	2.865				1		2.852	2.885	0.007	18	Weapons: 1010000	a103_030515
Black Knife	Dagger	2h R1 1	3.207	1.866	1.341	339	11	9.46	3.19	3.24	0.004	106	Weapons: 1010000	a020_032000
Black Knife	Dagger	2h R1 2	2.418	1.005	1.414	342	11	7.07	2.404	2.433	0.008	12	Weapons: 1010000	a020_032010
Black Knife	Dagger	2h R1 3	2.449				1		2.416	2.495	0.033	3	Weapons: 1010000	a020_032020
Black Knife	Dagger	2h R1 4	2.225				1		2.225	2.225	0	1	Weapons: 1010000	a020_032030
Black Knife	Dagger	2h R1 5	2.331				1		2.331	2.331	0	1	Weapons: 1010000	a020_032040
Black Knife	Dagger	2h Running R1	4.758	3.807	0.952	433	13	10.99	4.699	4.803	0.031	24	Weapons: 1010000	a020_032200
Black Knife	Dagger	2h Running R2	5.198	3.709	1.489	465	14	11.18	5.171	5.271	0.025	10	Weapons: 1010000	a020_032210
Black Knife	Dagger	2h Rolling R1	3.165	1.589	1.576	272	9	11.64	3.153	3.178	0.009	27	Weapons: 1010000	a020_032300
Black Knife	Dagger	2h Charged R2 1	4.963	3.372	1.59	865	26	5.74	4.905	4.981	0.023	24	Weapons: 1010000	a103_032500
Black Knife	Dagger	2h R2 1 Release	4.432	2.851	1.581	462	14	9.59	4.381	4.51	0.034	20	Weapons: 1010000	a103_032505
Black Knife	Dagger	2h Charged R2 2	4.061				1		4.018	4.143	0.058	3	Weapons: 1010000	a103_032510
Black Knife	Dagger	2h R2 2 Release	2.817				1		2.803	2.824	0.007	7	Weapons: 1010000	a103_032515
Black Knife+Black Knife	Dagger	Paired L1 1	3.786	2.252	1.534	333	10	11.37	3.78	3.791	0.003	15	Weapons: 1010000 1010000	a020_034000
Black Knife+Black Knife	Dagger	Paired Running L1	5.782	4.313	1.47	470	15	12.3	5.772	5.788	0.006	4	Weapons: 1010000 1010000	a020_034200
Black Knife	Dagger	Paired Running L1	5.788	4.3	1.488	464	14	12.47	5.788	5.788	0	1	Weapons: 1010000	a020_034200
Black Knife+Black Knife	Dagger	Paired Rolling L1	3.235	2.386	0.849	350	11	9.24	3.229	3.244	0.008	5	Weapons: 1010000 1010000	a020_034300
Black Knife	Dagger	Offhand L1 1	3.296	2.211	1.085	336	11	9.81	3.285	3.297	0.003	33	Weapons: 1010000	a020_035000
Parrying Dagger	Dagger	1h R1 1	3.158	2.176	0.982	338	11	9.34	3.144	3.17	0.004	90	Weapons: 1020000	a020_030000
Parrying Dagger	Dagger	1h R1 2	2.523	1.308	1.215	340	11	7.42	2.501	2.533	0.007	31	Weapons: 1020000	a020_030010
Parrying Dagger	Dagger	1h R1 3	2.227	0.901	1.326	352	11	6.33	2.199	2.245	0.01	20	Weapons: 1020000	a020_030020
Parrying Dagger	Dagger	1h R1 4	1.959	0.871	1.088	352	11	5.57	1.932	1.978	0.009	22	Weapons: 1020000	a020_030030
Parrying Dagger	Dagger	1h R1 5	2.222	0.941	1.281	352	11	6.31	2.205	2.23	0.008	18	Weapons: 1020000	a020_030040
Parrying Dagger	Dagger	1h R1 6	2.501	1.361	1.14	352	11	7.11	2.479	2.518	0.008	20	Weapons: 1020000	a020_030050
Parrying Dagger	Dagger	1h Running R1	4.474	3.719	0.755	432	13	10.36	4.388	4.544	0.047	19	Weapons: 1020000	a020_030200
Parrying Dagger	Dagger	1h Running R2	5.271	3.722	1.549	467	15	11.29	5.174	5.399	0.055	20	Weapons: 1020000	a020_030210
Parrying Dagger	Dagger	1h Rolling R1	3.22	1.48	1.74	283	9	11.38	3.212	3.238	0.008	36	Weapons: 1020000	a020_030300
Parrying Dagger	Dagger	1h Backstep R1	4.52				1		4.284	4.678	0.085	12	Weapons: 1020000	a020_030400
Parrying Dagger	Dagger	1h Charged R2 1	3.797	2.309	1.488	916	28	4.14	3.793	3.805	0.002	25	Weapons: 1020000	a020_030500
Parrying Dagger	Dagger	1h R2 1 Release	3.602	2.089	1.514	455	14	7.92	3.582	3.613	0.005	42	Weapons: 1020000	a020_030505
Parrying Dagger	Dagger	1h Charged R2 2	3.043	1.7	1.343	315	10	9.66	3.042	3.044	0.001	16	Weapons: 1020000	a020_030510
Parrying Dagger	Dagger	1h R2 2 Release	2.678	1.362	1.316	343	11	7.81	2.654	2.695	0.013	20	Weapons: 1020000	a020_030515
Parrying Dagger	Dagger	2h R1 1	3.167	1.891	1.276	339	11	9.34	3.152	3.182	0.003	76	Weapons: 1020000	a020_032000
Parrying Dagger	Dagger	2h R1 2	2.364				1		2.357	2.379	0.005	16	Weapons: 1020000	a020_032010
Parrying Dagger	Dagger	2h R1 3	2.346				1		2.325	2.367	0.021	2	Weapons: 1020000	a020_032020
Parrying Dagger	Dagger	2h R1 4	2.16				1		2.16	2.161	0	2	Weapons: 1020000	a020_032030
Parrying Dagger	Dagger	2h R1 5	2.256				1		2.234	2.279	0.022	2	Weapons: 1020000	a020_032040
Parrying Dagger	Dagger	2h R1 6	2.782				1		2.78	2.784	0.002	2	Weapons: 1020000	a020_032050
Parrying Dagger	Dagger	2h Running R1	4.687	3.775	0.912	433	13	10.82	4.614	4.759	0.043	26	Weapons: 1020000	a020_032200
Parrying Dagger	Dagger	2h Running R2	5.207	3.72	1.487	473	15	11.01	5.14	5.305	0.054	14	Weapons: 1020000	a020_032210
Parrying Dagger	Dagger	2h Rolling R1	3.133	1.591	1.542	281	9	11.15	3.037	3.216	0.035	23	Weapons: 1020000	a020_032300
Parrying Dagger	Dagger	2h Backstep R1	4.636				1		4.635	4.636	0	3	Weapons: 1020000	a020_032400
Parrying Dagger	Dagger	2h Charged R2 1	3.833	2.5	1.333	831	25	4.61	3.827	3.834	0.002	26	Weapons: 1020000	a020_032500
Parrying Dagger	Dagger	2h R2 1 Release	3.128	1.932	1.196	414	13	7.56	3.127	3.129	0.001	17	Weapons: 1020000	a020_032505
Parrying Dagger	Dagger	2h Charged R2 2	1.172				1		1.172	1.172	0	1	Weapons: 1020000	a020_032510
Parrying Dagger	Dagger	2h R2 2 Release	2.607				1		2.607	2.607	0	1	Weapons: 1020000	a020_032515
Parrying Dagger+Black Knife	Dagger	Paired L1 1	3.749	2.216	1.534	332	10	11.29	3.749	3.749	0	2	Weapons: 1020000 1010000	a020_034000
Parrying Dagger+Parrying Dagger	Dagger	Paired L1 1	3.749	2.245	1.505	334	11	11.23	3.749	3.749	0	8	Weapons: 1020000 1020000	a020_034000
Parrying Dagger+Parrying Dagger	Dagger	Paired Running L1	5.799	4.326	1.473	476	15	12.18	5.798	5.802	0.002	4	Weapons: 1020000 1020000	a020_034200
Parrying Dagger+Parrying Dagger	Dagger	Paired Rolling L1	3.191	2.389	0.802	352	11	9.07	3.168	3.244	0.031	4	Weapons: 1020000 1020000	a020_034300
Parrying Dagger	Dagger	Offhand L1 1	3.208	2.212	0.996	338	11	9.49	3.202	3.212	0.002	30	Weapons: 1020000	a020_035000
Miséricorde	Dagger	1h R1 1	3.344	1.847	1.497	333	10	10.04	3.329	3.35	0.003	146	Weapons: 1030000	a020_030000
Miséricorde	Dagger	1h R1 2	2.691	1.301	1.39	336	11	8.01	2.637	2.733	0.02	36	Weapons: 1030000	a020_030010
Miséricorde	Dagger	1h R1 3	2.396	0.881	1.515	336	11	7.13	2.371	2.416	0.016	15	Weapons: 1030000	a020_030020
Miséricorde	Dagger	1h R1 4	2.104	0.922	1.182	336	11	6.26	2.089	2.112	0.006	14	Weapons: 1030000	a020_030030
Miséricorde	Dagger	1h R1 5	2.39				1		2.186	2.425	0.066	12	Weapons: 1030000	a020_030040
Miséricorde	Dagger	1h R1 6	2.666				1		2.631	2.681	0.018	12	Weapons: 1030000	a020_030050
Miséricorde	Dagger	1h Running R1	4.672	3.722	0.95	433	13	10.79	4.58	4.78	0.06	25	Weapons: 1030000	a020_030200
Miséricorde	Dagger	1h Running R2	5.476	3.704	1.772	469	15	11.68	5.379	5.599	0.071	30	Weapons: 1030000	a020_030210
Miséricorde	Dagger	1h Rolling R1	3.372	1.507	1.865	283	9	11.91	3.312	3.426	0.03	41	Weapons: 1030000	a020_030300
Miséricorde	Dagger	1h Backstep R1	4.722				1		4.707	4.735	0.011	5	Weapons: 1030000	a020_030400
Miséricorde	Dagger	1h Charged R2 1	4.649	2.884	1.765	872	27	5.33	4.649	4.649	0	95	Weapons: 1030000	a101_030500
Miséricorde	Dagger	1h R2 1 Release	4.267	2.397	1.87	502	16	8.5	4.26	4.28	0.004	55	Weapons: 1030000	a101_030505
Miséricorde	Dagger	1h Charged R2 2	4.174	2.334	1.839	408	13	10.23	4.158	4.187	0.006	13	Weapons: 1030000	a101_030510
Miséricorde	Dagger	1h R2 2 Release	3.244				1		3.013	3.321	0.099	10	Weapons: 1030000	a101_030515
Miséricorde	Dagger	2h R1 1	3.332	1.86	1.472	399	12	8.35	3.314	3.337	0.002	106	Weapons: 1030000	a020_032000
Miséricorde	Dagger	2h R1 2	2.541	1.004	1.537	314	10	8.09	2.518	2.567	0.012	17	Weapons: 1030000	a020_032010
Miséricorde	Dagger	2h R1 3	2.53				1		2.523	2.537	0.007	2	Weapons: 1030000	a020_032020
Miséricorde	Dagger	2h Running R1	4.857	3.8	1.056	432	13	11.24	4.813	4.899	0.03	19	Weapons: 1030000	a020_032200
Miséricorde	Dagger	2h Running R2	5.36	3.697	1.663	467	15	11.48	5.253	5.487	0.073	18	Weapons: 1030000	a101_032210
Miséricorde	Dagger	2h Rolling R1	3.286	1.588	1.699	274	9	11.99	3.245	3.333	0.018	27	Weapons: 1030000	a020_032300
Miséricorde	Dagger	2h Backstep R1	4.847				1		4.824	4.888	0.023	5	Weapons: 1030000	a020_032400
Miséricorde	Dagger	2h Charged R2 1	4.593	2.775	1.818	877	27	5.24	4.589	4.593	0.001	12	Weapons: 1030000	a101_032500
Miséricorde	Dagger	2h R2 1 Release	4.287	2.515	1.772	513	16	8.36	4.284	4.292	0.002	24	Weapons: 1030000	a101_032505
Miséricorde	Dagger	2h Charged R2 2	4.01	2.17	1.84	268	9	14.96	4.006	4.016	0.003	11	Weapons: 1030000	a101_032510
Miséricorde	Dagger	2h R2 2 Release	2.974				1		2.971	2.978	0.004	2	Weapons: 1030000	a101_032515
Miséricorde+Miséricorde	Dagger	Paired L1 1	3.916	2.215	1.701	333	10	11.76	3.913	3.92	0.001	14	Weapons: 1030000 1030000	a020_034000
Miséricorde+Miséricorde	Dagger	Paired Running L1	5.905	4.316	1.589	472	15	12.51	5.902	5.919	0.006	6	Weapons: 1030000 1030000	a020_034200
Miséricorde	Dagger	Paired Running L1	5.918	4.301	1.617	488	15	12.13	5.918	5.918	0	1	Weapons: 1030000	a020_034200
Miséricorde+Miséricorde	Dagger	Paired Rolling L1	3.349	2.387	0.963	357	11	9.38	3.309	3.365	0.019	7	Weapons: 1030000 1030000	a020_034300
Miséricorde	Dagger	Offhand L1 1	3.394	2.206	1.187	338	11	10.04	3.391	3.395	0.001	42	Weapons: 1030000	a020_035000
Reduvia	Dagger	1h R1 1	3.226	1.885	1.341	338	11	9.54	3.213	3.23	0.003	74	Weapons: 1040000	a020_030000
Reduvia	Dagger	1h R1 2	2.556	1.318	1.238		1		2.522	2.573	0.01	17	Weapons: 1040000	a020_030010
Reduvia	Dagger	1h R1 3	2.27				1		2.242	2.284	0.013	9	Weapons: 1040000	a020_030020
Reduvia	Dagger	1h R1 4	1.98				1		1.965	2.013	0.015	6	Weapons: 1040000	a020_030030
Reduvia	Dagger	1h R1 5	2.281				1		2.276	2.286	0.004	3	Weapons: 1040000	a020_030040
Reduvia	Dagger	1h R1 6	2.542				1		2.541	2.543	0.001	3	Weapons: 1040000	a020_030050
Reduvia	Dagger	1h Running R1	4.504	3.719	0.786	434	14	10.38	4.421	4.584	0.051	17	Weapons: 1040000	a020_030200
Reduvia	Dagger	1h Running R2	5.29	3.707	1.583	470	15	11.25	5.253	5.374	0.037	12	Weapons: 1040000	a020_030210
Reduvia	Dagger	1h Rolling R1	3.258	1.499	1.759	290	9	11.23	3.24	3.272	0.009	28	Weapons: 1040000	a020_030300
Reduvia	Dagger	1h Charged R2 1	3.846	2.345	1.501	916	28	4.2	3.845	3.846	0	14	Weapons: 1040000	a020_030500
Reduvia	Dagger	1h R2 1 Release	3.252	1.685	1.567	361	11	9.01	3.241	3.256	0.004	16	Weapons: 1040000	a020_030505
Reduvia	Dagger	1h Charged R2 2	3.09	1.701	1.389	306	10	10.1	3.066	3.107	0.011	24	Weapons: 1040000	a020_030510
Reduvia	Dagger	1h R2 2 Release	2.711	1.366	1.345	336	11	8.07	2.675	2.736	0.017	18	Weapons: 1040000	a020_030515
Reduvia	Dagger	2h R1 1	3.192	1.859	1.333	332	10	9.61	3.116	3.272	0.015	181	Weapons: 1040000	a020_032000
Reduvia	Dagger	2h R1 2	2.4	1.002	1.398		1		2.382	2.433	0.013	21	Weapons: 1040000	a020_032010
Reduvia	Dagger	2h R1 3	2.392				1		2.306	2.506	0.066	10	Weapons: 1040000	a020_032020
Reduvia	Dagger	2h R1 4	2.235				1		2.2	2.307	0.035	7	Weapons: 1040000	a020_032030
Reduvia	Dagger	2h R1 5	2.318				1		2.284	2.391	0.033	7	Weapons: 1040000	a020_032040
Reduvia	Dagger	2h R1 6	2.828				1		2.812	2.868	0.017	7	Weapons: 1040000	a020_032050
Reduvia	Dagger	2h Running R1	4.725	3.775	0.95	397	12	11.9	4.659	4.807	0.042	29	Weapons: 1040000	a020_032200
Reduvia	Dagger	2h Running R2	5.174	3.711	1.463	467	15	11.08	5.159	5.192	0.012	12	Weapons: 1040000	a020_032210
Reduvia	Dagger	2h Rolling R1	3.15	1.59	1.56	241	8	13.07	3.115	3.167	0.011	24	Weapons: 1040000	a020_032300
Reduvia	Dagger	2h Backstep R1	4.703				1		4.598	4.829	0.047	13	Weapons: 1040000	a020_032400
Reduvia	Dagger	2h Charged R2 1	3.873	2.47	1.404	833	25	4.65	3.87	3.877	0.001	13	Weapons: 1040000	a020_032500
Reduvia	Dagger	2h R2 1 Release	3.168	1.702	1.466	416	13	7.61	3.147	3.171	0.007	18	Weapons: 1040000	a020_032505
Reduvia	Dagger	2h R2 2 Release	2.914				1		2.9	2.921	0.007	7	Weapons: 1040000	a020_032515
Reduvia+Reduvia	Dagger	Paired L1 1	3.778	2.215	1.563	336	11	11.24	3.778	3.778	0	9	Weapons: 1040000 1040000	a020_034000
Reduvia+Miséricorde	Dagger	Paired L1 1	3.778	2.216	1.563	332	10	11.38	3.778	3.778	0	2	Weapons: 1040000 1030000	a020_034000
Reduvia+Reduvia	Dagger	Paired Running L1	5.788	4.318	1.47	474	15	12.21	5.781	5.796	0.008	4	Weapons: 1040000 1040000	a020_034200
Reduvia+Miséricorde	Dagger	Paired Running L1	5.902	4.319	1.583	504	16	11.71	5.902	5.902	0	1	Weapons: 1040000 1030000	a020_034200
Reduvia+Reduvia	Dagger	Paired Rolling L1	3.215	2.384	0.832	352	11	9.13	3.211	3.227	0.007	4	Weapons: 1040000 1040000	a020_034300
Reduvia+Miséricorde	Dagger	Paired Rolling L1	3.349	2.379	0.97	344	11	9.74	3.349	3.349	0	1	Weapons: 1040000 1030000	a020_034300
Reduvia	Dagger	Offhand L1 1	3.263	2.209	1.054	337	11	9.68	3.24	3.268	0.007	32	Weapons: 1040000	a020_035000
Reduvia	Dagger	Reduvia Blood Blade - Blood Throw	2.505	1.061	1.443	806	25	3.11	2.464	2.512	0.017	7	Weapons: 1040000	a816_040000
Crystal Knife	Dagger	1h R1 1	3.144	1.878	1.266	336	11	9.36	3.128	3.151	0.004	73	Weapons: 1050000	a020_030000
Crystal Knife	Dagger	1h R1 2	2.492	1.351	1.141		1		2.459	2.512	0.01	21	Weapons: 1050000	a020_030010
Crystal Knife	Dagger	1h R1 3	2.191				1		2.093	2.211	0.032	11	Weapons: 1050000	a020_030020
Crystal Knife	Dagger	1h R1 4	1.9				1		1.771	1.933	0.047	10	Weapons: 1050000	a020_030030
Crystal Knife	Dagger	1h R1 5	2.194				1		2.165	2.209	0.018	7	Weapons: 1050000	a020_030040
Crystal Knife	Dagger	1h R1 6	2.467				1		2.454	2.475	0.007	6	Weapons: 1050000	a020_030050
Crystal Knife	Dagger	1h Running R1	4.428	3.728	0.7	433	13	10.23	4.376	4.513	0.042	16	Weapons: 1050000	a020_030200
Crystal Knife	Dagger	1h Running R2	5.283	3.711	1.572	467	15	11.31	5.207	5.418	0.08	18	Weapons: 1050000	a020_030210
Crystal Knife	Dagger	1h Rolling R1	3.193	1.506	1.686	284	9	11.24	3.185	3.209	0.008	14	Weapons: 1050000	a020_030300
Crystal Knife	Dagger	1h Charged R2 1	3.771	2.32	1.451	848	26	4.45	3.77	3.772	0.001	12	Weapons: 1050000	a020_030500
Crystal Knife	Dagger	1h R2 1 Release	3.574	2.112	1.463	442	14	8.09	3.574	3.579	0.001	18	Weapons: 1050000	a020_030505
Crystal Knife	Dagger	1h Charged R2 2	3.021	1.7	1.321	290	9	10.42	3.02	3.023	0.001	7	Weapons: 1050000	a020_030510
Crystal Knife	Dagger	1h R2 2 Release	2.635				1		2.544	2.675	0.032	12	Weapons: 1050000	a020_030515
Crystal Knife	Dagger	2h R1 1	3.128	1.856	1.272	339	11	9.23	3.116	3.128	0.001	63	Weapons: 1050000	a020_032000
Crystal Knife	Dagger	2h R1 2	2.334	1.004	1.329	339	11	6.88	2.33	2.338	0.002	14	Weapons: 1050000	a020_032010
Crystal Knife	Dagger	2h R1 3	2.328				1		2.327	2.33	0.001	2	Weapons: 1050000	a020_032020
Crystal Knife	Dagger	2h R1 4	2.122				1		2.112	2.132	0.01	2	Weapons: 1050000	a020_032030
Crystal Knife	Dagger	2h R1 5	2.236				1		2.228	2.245	0.008	2	Weapons: 1050000	a020_032040
Crystal Knife	Dagger	2h R1 6	2.75				1		2.749	2.75	0.001	2	Weapons: 1050000	a020_032050
Crystal Knife	Dagger	2h Running R1	4.614	3.779	0.835	434	14	10.63	4.61	4.622	0.006	11	Weapons: 1050000	a020_032200
Crystal Knife	Dagger	2h Running R2	5.12	3.701	1.42	464	14	11.04	5.084	5.168	0.02	16	Weapons: 1050000	a020_032210
Crystal Knife	Dagger	2h Rolling R1	3.092	1.587	1.505	276	9	11.2	3.072	3.107	0.01	21	Weapons: 1050000	a020_032300
Crystal Knife	Dagger	2h Backstep R1	4.624				1		4.615	4.641	0.012	3	Weapons: 1050000	a020_032400
Crystal Knife	Dagger	2h Charged R2 1	3.807	2.554	1.253	839	26	4.54	3.807	3.807	0	19	Weapons: 1050000	a020_032500
Crystal Knife	Dagger	2h R2 1 Release	3.1	1.699	1.401	412	13	7.53	3.077	3.123	0.009	29	Weapons: 1050000	a020_032505
Crystal Knife	Dagger	2h Charged R2 2	3.375	2.25	1.125	171	6	19.74	3.333	3.386	0.014	16	Weapons: 1050000	a020_032510
Crystal Knife	Dagger	2h R2 2 Release	2.608				1		2.608	2.608	0	1	Weapons: 1050000	a020_032515
Crystal Knife+Reduvia	Dagger	Paired L1 1	3.716	2.215	1.501	328	10	11.33	3.716	3.716	0	1	Weapons: 1050000 1040000	a020_034000
Crystal Knife+Crystal Knife	Dagger	Paired L1 1	3.717	2.228	1.489	330	10	11.26	3.716	3.722	0.002	10	Weapons: 1050000 1050000	a020_034000
Miséricorde+Crystal Knife	Dagger	Paired L1 1	3.906	2.215	1.692	332	10	11.77	3.897	3.916	0.01	2	Weapons: 1030000 1050000	a020_034000
Crystal Knife+Crystal Knife	Dagger	Paired Running L1	5.756	4.325	1.431	472	15	12.19	5.743	5.76	0.006	5	Weapons: 1050000 1050000	a020_034200
Miséricorde+Crystal Knife	Dagger	Paired Running L1	5.759	4.336	1.423	480	15	12	5.759	5.759	0	1	Weapons: 1030000 1050000	a020_034200
Crystal Knife+Crystal Knife	Dagger	Paired Rolling L1	3.152	2.392	0.76	350	11	9	3.143	3.156	0.006	5	Weapons: 1050000 1050000	a020_034300
Miséricorde+Crystal Knife	Dagger	Paired Rolling L1	3.212	2.398	0.814	370	12	8.68	3.212	3.212	0	1	Weapons: 1030000 1050000	a020_034300
Crystal Knife	Dagger	Offhand L1 1	3.189	2.213	0.976	339	11	9.41	3.183	3.192	0.002	32	Weapons: 1050000	a020_035000
Celebrant's Sickle	Dagger	1h R1 1	3.25	1.877	1.373	349	11	9.31	3.24	3.278	0.005	74	Weapons: 1060000	a020_030000
Celebrant's Sickle	Dagger	1h R1 2	2.58				1		2.38	2.629	0.057	28	Weapons: 1060000	a020_030010
Celebrant's Sickle	Dagger	1h R1 3	2.301				1		2.199	2.327	0.024	25	Weapons: 1060000	a020_030020
Celebrant's Sickle	Dagger	1h R1 4	1.996				1		1.766	2.038	0.068	23	Weapons: 1060000	a020_030030
Celebrant's Sickle	Dagger	1h R1 5	2.296				1		2.134	2.338	0.039	23	Weapons: 1060000	a020_030040
Celebrant's Sickle	Dagger	1h R1 6	2.568				1		2.502	2.587	0.025	20	Weapons: 1060000	a020_030050
Celebrant's Sickle	Dagger	1h Running R1	4.539	3.712	0.827	434	14	10.46	4.445	4.612	0.053	15	Weapons: 1060000	a020_030200
Celebrant's Sickle	Dagger	1h Running R2	5.336	3.713	1.623	466	14	11.45	5.302	5.427	0.041	9	Weapons: 1060000	a020_030210
Celebrant's Sickle	Dagger	1h Rolling R1	3.298	1.482	1.816	281	9	11.74	3.275	3.31	0.01	17	Weapons: 1060000	a020_030300
